# 状态矩阵（T0 全量覆盖）—— 行数必须 == 实体清单的 Σ状态数
# 口径：状态取**枚举值 + 边界值**（阈值上下各一 / 0 / 上限 / 超界）；⛔ 不取"任意帧"、⛔ 不做笛卡尔全组合
# 「实测 / 结论 / 证据」三列本片**故意留空** = 红行（先出表后修，判据由后续按维度的片填）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	tbl:Class(5 id)	id=5	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Class.tsv:6）	工程值（client/Assets/StreamingAssets/Table/Class.tsv:6）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：charstats.txt:class=Barbarian；charstats.txt:str=30；charstats.txt:dex=20；charstats.txt:vit=25；charstats.txt:int=10；charstats.txt:StatPerLevel=5；charstats.txt:LifePerLevel ÷4（官方注释 'in fourths'）=2；charstats.txt:ManaPerLevel ÷4=1；charstats.txt:StaminaPerLevel ÷4=1；charstats.txt:LifePerVitality ÷4=4；charstats.txt:ManaPerMagic ÷4=1；charstats.txt:StaminaPerVitality ÷4=1；charstats.txt:ToHitFactor=20；charstats.txt:WalkVelocity=6；charstats.txt:RunVelocity=9；charstats.txt:StartSkill=；官方无此列（缺官方值，⛔ 非「放过」：官方 txt 确无对应对手 ⇒ 天然比不了；集合见 tools/probes/measure/s1_common.py 的 EXPECTED_NO_CARRIER['class'] = {'id', 'name', 'skill_class'}）：id（（本项目顺序编号 1-5，官方表里没有该列））、name（（中文显示名 cn_names.py；官方 txt 只有英文 class 名））、skill_class（（本项目常量映射 SKILL_CLASS，官方无该列））	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/charstats.txt:6（class=Barbarian）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：class/str/dex/vit/int/StatPerLevel/ToHitFactor/WalkVelocity/RunVelocity/StartSkill；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4894-4912（19 字段：一致 16 / 缺官方值 3） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:307（行结论=一致 差值=0）
S1数值	tbl:Class(5 id)	边界:id=空/首行之前	边界: 越界 → 必须回落默认并留痕	越界必须回落默认值并打一次 Warn（⛔ 不许静默）（出处：client/Assets/StreamingAssets/Table/Class.tsv:1 表头口径）	tbl:Class(5 id)（5 个 id，主键 int）；查 id=空（`TableParsers.ToInt("")` = 0） ⇒ **返回 null（回落默认值）** + 恰一次限频 Warn；宿主原文：[ OK ] Class · id=空(ToInt("")→0) ⇒ 回落默认值 null + 恰一次 Warn (3 次查询全 null=True；Warn 条数=1（同主键限频 ⇒ 重复查不刷屏）；非 Warn 行=0 ｜ 原文=[CloverTable] 配表 Class 里没有 int 主键 0 ⇒ 返回 null（同一主键限频告警）)	一致	脚本断言（越界回落默认值 + 一次 Warn）：tools/probes/enumerate/s1check（宿主 20/20 [ OK ]、FAIL=0；原文 tools/probes/enumerate/s1_boundary.tsv:9）+ 生成壳 client/Assets/Scripts/Table/Base/BaseClass.cs:38 + 判据 ../clover-client-unity-engine/Runtime/Data/CloverTable.cs:241（未命中 ⇒ return null + WarnThrottled）
S1数值	tbl:Class(5 id)	边界:id=max+1（超界）	边界: 越界 → 必须回落默认并留痕	越界必须回落默认值并打一次 Warn（⛔ 不许静默）（出处：client/Assets/StreamingAssets/Table/Class.tsv:1 表头口径）	tbl:Class(5 id)（5 个 id，主键 int）；查 id=max+1（=6，表内最大 id=5） ⇒ **返回 null（回落默认值）** + 恰一次限频 Warn；宿主原文：[ OK ] Class · id=max+1(6) ⇒ 回落默认值 null + 恰一次 Warn (id=6（表内最大 id=5）；2 次查询全 null=True；Warn 条数=1；非 Warn 行=0 ｜ 原文=[CloverTable] 配表 Class 里没有 int 主键 6 ⇒ 返回 null（同一主键限频告警）)	一致	脚本断言（越界回落默认值 + 一次 Warn）：tools/probes/enumerate/s1check（宿主 20/20 [ OK ]、FAIL=0；原文 tools/probes/enumerate/s1_boundary.tsv:11）+ 生成壳 client/Assets/Scripts/Table/Base/BaseClass.cs:38 + 判据 ../clover-client-unity-engine/Runtime/Data/CloverTable.cs:241（未命中 ⇒ return null + WarnThrottled）
S1数值	tbl:Experience(99 id)	id=1	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:2）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:2）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=1；experience.txt:Amazon（官方 8 职业同值）=500；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:4（Level=1）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4913-4915（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:308（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=2	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:3）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:3）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=2；experience.txt:Amazon（官方 8 职业同值）=1500；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:5（Level=2）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4916-4918（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:309（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=3	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:4）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:4）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=3；experience.txt:Amazon（官方 8 职业同值）=3750；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:6（Level=3）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4919-4921（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:310（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=4	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:5）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:5）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=4；experience.txt:Amazon（官方 8 职业同值）=7875；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:7（Level=4）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4922-4924（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:311（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=5	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:6）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:6）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=5；experience.txt:Amazon（官方 8 职业同值）=14175；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:8（Level=5）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4925-4927（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:312（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=6	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:7）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:7）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=6；experience.txt:Amazon（官方 8 职业同值）=22680；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:9（Level=6）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4928-4930（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:313（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=7	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:8）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:8）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=7；experience.txt:Amazon（官方 8 职业同值）=32886；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:10（Level=7）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4931-4933（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:314（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=8	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:9）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:9）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=8；experience.txt:Amazon（官方 8 职业同值）=44396；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:11（Level=8）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4934-4936（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:315（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=9	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:10）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:10）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=9；experience.txt:Amazon（官方 8 职业同值）=57715；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:12（Level=9）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4937-4939（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:316（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=10	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:11）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:11）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=10；experience.txt:Amazon（官方 8 职业同值）=72144；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:13（Level=10）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4940-4942（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:317（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=11	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:12）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:12）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=11；experience.txt:Amazon（官方 8 职业同值）=90180；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:14（Level=11）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4943-4945（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:318（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=12	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:13）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:13）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=12；experience.txt:Amazon（官方 8 职业同值）=112725；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:15（Level=12）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4946-4948（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:319（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=13	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:14）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:14）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=13；experience.txt:Amazon（官方 8 职业同值）=140906；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:16（Level=13）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4949-4951（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:320（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=14	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:15）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:15）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=14；experience.txt:Amazon（官方 8 职业同值）=176132；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:17（Level=14）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4952-4954（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:321（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=15	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:16）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:16）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=15；experience.txt:Amazon（官方 8 职业同值）=220165；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:18（Level=15）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4955-4957（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:322（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=16	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:17）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:17）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=16；experience.txt:Amazon（官方 8 职业同值）=275207；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:19（Level=16）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4958-4960（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:323（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=17	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:18）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:18）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=17；experience.txt:Amazon（官方 8 职业同值）=344008；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:20（Level=17）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4961-4963（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:324（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=18	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:19）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:19）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=18；experience.txt:Amazon（官方 8 职业同值）=430010；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:21（Level=18）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4964-4966（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:325（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=19	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:20）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:20）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=19；experience.txt:Amazon（官方 8 职业同值）=537513；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:22（Level=19）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4967-4969（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:326（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=20	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:21）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:21）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=20；experience.txt:Amazon（官方 8 职业同值）=671891；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:23（Level=20）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4970-4972（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:327（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=21	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:22）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:22）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=21；experience.txt:Amazon（官方 8 职业同值）=839864；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:24（Level=21）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4973-4975（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:328（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=22	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:23）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:23）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=22；experience.txt:Amazon（官方 8 职业同值）=1049830；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:25（Level=22）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4976-4978（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:329（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=23	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:24）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:24）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=23；experience.txt:Amazon（官方 8 职业同值）=1312287；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:26（Level=23）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4979-4981（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:330（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=24	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:25）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:25）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=24；experience.txt:Amazon（官方 8 职业同值）=1640359；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:27（Level=24）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4982-4984（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:331（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=25	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:26）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:26）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=25；experience.txt:Amazon（官方 8 职业同值）=2050449；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:28（Level=25）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4985-4987（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:332（行结论=一致 差值=0）
S1数值	tbl:Experience(99 id)	id=26	—	逐字段与官方 txt 相等（出处：client/Assets/StreamingAssets/Table/Experience.tsv:27）	工程值（client/Assets/StreamingAssets/Table/Experience.tsv:27）↔ 原版值（官方 txt）逐字段（差值全 0 ⇒ 逐字段两侧同值；值照 .ai-tmp/screenshots/s1_value_diff.tsv 抄，⛔ 未改字/未四舍五入）：experience.txt:Level=26；experience.txt:Amazon（官方 8 职业同值）=2563061；experience.txt:ExpRatio=1024	一致	判据出处：原版资源/参考工程_Diablerie/d2lod1.10txt/data/global/excel/experience.txt:29（Level=26）；本行列级核对列（该官方行的这些列逐格 == 字段级产物官方值）：Level/Amazon/ExpRatio；产物：.ai-tmp/screenshots/s1_value_diff.tsv:4988-4990（3 字段：一致 3 / 缺官方值 0） + .ai-tmp/screenshots/s1_value_diff.rows.tsv:333（行结论=一致 差值=0）
